Predicted duration,6.0,,,
Predicted error,0.5,,,
Predicted start,04:22:42,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1
335,[04:21:59.1184515],1089690,100480
336,[04:21:59.1684143],1029741,94795
337,[04:21:59.2185778],1105207,92255
338,[04:21:59.2686831],1058866,94603
339,[04:21:59.3187744],1047275,95364
340,[04:21:59.3689342],1048705,92048
341,[04:21:59.4190267],1080807,100575
342,[04:21:59.4690321],1046272,92310
343,[04:21:59.5190790],1123916,93750
344,[04:21:59.5690635],1085190,91692
345,[04:21:59.6191915],1011216,94533
346,[04:21:59.6692732],1072341,88994
347,[04:21:59.7192454],1049712,97533
348,[04:21:59.7693707],1063723,97146
349,[04:21:59.8195186],1052861,89483
350,[04:21:59.8696712],994811,94448
351,[04:21:59.9196992],1043105,87163
352,[04:21:59.9699125],1080721,92166
353,[04:22:00.0197613],1064122,95536
354,[04:22:00.0698715],1069812,88395
355,[04:22:00.1197874],1079117,94850
356,[04:22:00.1699233],1062912,92574
357,[04:22:00.2200113],1083375,90880
358,[04:22:00.2700790],1075636,94870
359,[04:22:00.3200478],1073385,92569
360,[04:22:00.3703367],1059198,92368
361,[04:22:00.4203999],1060728,88939
362,[04:22:00.4705559],1078138,97141
363,[04:22:00.5206453],1042681,93418
364,[04:22:00.5706722],1048619,96214
365,[04:22:00.6207462],1073749,98397
366,[04:22:00.6713970],1040794,100465
367,[04:22:00.7222713],1034513,85980
368,[04:22:00.7709597],1063098,90065
369,[04:22:00.8210462],1063649,100497
370,[04:22:00.8713659],1039785,91151
371,[04:22:00.9214285],1013600,93608
372,[04:22:00.9717596],1047540,84102
373,[04:22:01.0215464],1061023,96222
374,[04:22:01.0714512],1089199,87746
375,[04:22:01.1213765],1091529,91207
376,[04:22:01.1714297],1066930,91100
377,[04:22:01.2214525],1065882,101433
378,[04:22:01.2718166],1048612,91744
379,[04:22:01.3219984],1059628,89792
380,[04:22:01.3721959],1052644,93209
381,[04:22:01.4222383],1079245,91177
382,[04:22:01.4723117],1036815,92198
383,[04:22:01.5222944],1022806,95255
384,[04:22:01.5720784],1053468,100059
385,[04:22:01.6224616],1058086,93468
386,[04:22:01.6722659],1084587,89849
387,[04:22:01.7222648],1075661,95755
388,[04:22:01.7724675],1048882,87623
389,[04:22:01.8225110],1066498,88572
390,[04:22:01.8725051],1102119,93386
391,[04:22:01.9227093],1082443,94174
392,[04:22:01.9729755],1090572,91607
393,[04:22:02.0227287],1030489,88451
394,[04:22:02.0732616],1142384,93762
395,[04:22:02.1228884],1097383,93481
396,[04:22:02.1729502],1079053,92207
397,[04:22:02.2230148],1048934,87356
398,[04:22:02.2734401],1058732,91105
399,[04:22:02.3231953],1077354,85049
400,[04:22:02.3734257],1037702,83975
401,[04:22:02.4235059],1063845,85572
402,[04:22:02.4739203],1054521,91902
403,[04:22:02.5236896],1040244,90659
404,[04:22:02.5736478],1038055,87865
405,[04:22:02.6237042],1057470,95233
406,[04:22:02.6738688],1073301,88394
407,[04:22:02.7240073],1060560,89144
408,[04:22:02.7739652],1083719,95073
409,[04:22:02.8241546],1070037,87891
410,[04:22:02.8741897],1064268,94372
411,[04:22:02.9242459],1077421,89673
412,[04:22:02.9745858],1091052,92855
413,[04:22:03.0244275],1117593,87495
414,[04:22:03.0745273],1031988,85239
415,[04:22:03.1245331],1044082,87719
416,[04:22:03.1750256],1021690,88329
417,[04:22:03.2247583],1020467,93521
418,[04:22:03.2747860],1061966,91588
419,[04:22:03.3248415],1104567,97332
420,[04:22:03.3748543],1075391,95268
421,[04:22:03.4250266],1144886,92342
422,[04:22:03.4753328],1084808,96891
423,[04:22:03.5251860],1150580,95240
424,[04:22:03.5752942],1081300,91636
425,[04:22:03.6254609],1096420,97781
426,[04:22:03.6753714],1061583,91609
427,[04:22:03.7254849],996990,94741
428,[04:22:03.7754525],1055393,91753
429,[04:22:03.8253964],1030454,92311
430,[04:22:03.8754607],1033021,91532
431,[04:22:03.9257803],1056475,93565
432,[04:22:03.9758380],1097345,89253
433,[04:22:04.0261491],1033295,90155
434,[04:22:04.0760059],1064387,94401
435,[04:22:04.1262519],1082558,95812
436,[04:22:04.1760853],1039545,95555
437,[04:22:04.2263603],1105084,93315
438,[04:22:04.2764535],1070941,95365
439,[04:22:04.3265529],1054981,94579
440,[04:22:04.3767866],1108796,94622
441,[04:22:04.4263050],1010283,92480
442,[04:22:04.4769908],1083514,93218
443,[04:22:04.5266755],1058998,89399
444,[04:22:04.5766347],1035606,93048
445,[04:22:04.6266886],1046511,89539
446,[04:22:04.6766735],1090792,87258
447,[04:22:04.7268144],1108470,92258
448,[04:22:04.7768930],1106341,93362
449,[04:22:04.8273192],1053458,90230
450,[04:22:04.8774561],1045754,89546
451,[04:22:04.9277290],1069287,90711
452,[04:22:04.9776096],1046124,99381
453,[04:22:05.0277046],1039882,92582
454,[04:22:05.0774798],1092343,90419
455,[04:22:05.1277417],1080036,89485
456,[04:22:05.1774619],1073413,99254
457,[04:22:05.2278670],1032827,96767
458,[04:22:05.2776651],1117793,99594
459,[04:22:05.3278835],1090440,89955
460,[04:22:05.3780880],1126007,92141
461,[04:22:05.4279789],1039286,91195
462,[04:22:05.4781479],1063590,89635
463,[04:22:05.5279309],1053237,92893
464,[04:22:05.5782827],1053749,91722
465,[04:22:05.6283896],1061845,88344
466,[04:22:05.6786190],1080393,97810
467,[04:22:05.7284925],1033690,92222
468,[04:22:05.7786022],1054067,92288
469,[04:22:05.8285852],1057960,92389
470,[04:22:05.8787411],1058189,92884
471,[04:22:05.9286944],1104667,93708
472,[04:22:05.9788460],1081247,96803
473,[04:22:06.0289913],998029,92761
474,[04:22:06.0789685],1091918,95490
475,[04:22:06.1290986],1157497,91997
476,[04:22:06.1792666],1056905,91585
477,[04:22:06.2292853],1067332,89409
478,[04:22:06.2793695],1027169,91186
479,[04:22:06.3294920],1046566,97307
480,[04:22:06.3793132],1056197,81945
481,[04:22:06.4295960],1094139,91918
482,[04:22:06.4796777],1014843,93775
483,[04:22:06.5298441],1111177,92862
484,[04:22:06.5798271],1101550,91891
485,[04:22:06.6299458],1076766,95601
486,[04:22:06.6798666],1021532,94788
487,[04:22:06.7300517],1047329,90656
488,[04:22:06.7801282],1035027,91343
489,[04:22:06.8301177],1075216,84455
490,[04:22:06.8802759],1103853,91859
491,[04:22:06.9303746],1106414,93675
492,[04:22:06.9804772],1057347,98163
493,[04:22:07.0305458],1081611,94385
494,[04:22:07.0804992],1072208,91156
495,[04:22:07.1306558],1039093,89611
496,[04:22:07.1806766],1051478,85733
497,[04:22:07.2308647],1091764,90953
498,[04:22:07.2807382],1066004,95160
499,[04:22:07.3310116],1031165,92414
500,[04:22:07.3807723],1070104,93810
501,[04:22:07.4310266],1099376,95742
502,[04:22:07.4811326],1061560,99230
503,[04:22:07.5313224],1119274,95407
504,[04:22:07.5815011],1079763,96312
505,[04:22:07.6315414],1054065,95711
506,[04:22:07.6815417],1056414,92007
507,[04:22:07.7316200],1058129,99841
508,[04:22:07.7819564],1057282,91878
509,[04:22:07.8319889],1075037,94078
510,[04:22:07.8824682],1078710,92960
511,[04:22:07.9323523],1089159,93944
512,[04:22:07.9824310],1096038,88726
513,[04:22:08.0324458],1048416,86943
514,[04:22:08.0826302],975234,92073
515,[04:22:08.1324285],1077808,89832
516,[04:22:08.1820917],1081381,98261
517,[04:22:08.2321417],1042957,96204
518,[04:22:08.2825161],1047363,92084
519,[04:22:08.3322615],1124701,90604
520,[04:22:08.3825039],1045605,94931
521,[04:22:08.4342797],1022920,93706
522,[04:22:08.4847262],1001358,92640
523,[04:22:08.5336020],1053759,96411
524,[04:22:08.5832668],1079879,96267
525,[04:22:08.6332174],1041168,92445
526,[04:22:08.6830859],1128640,89055
527,[04:22:08.7330873],1038195,91501
528,[04:22:08.7837136],1027566,91832
529,[04:22:08.8331117],1073447,87564
530,[04:22:08.8831815],1125003,90204
531,[04:22:08.9332747],1095490,91275
532,[04:22:08.9834646],1082922,97277
533,[04:22:09.0335995],1049856,90876
534,[04:22:09.0836584],1058277,92086
535,[04:22:09.1336430],1069797,96897
536,[04:22:09.1838309],1068248,85597
537,[04:22:09.2338050],1030690,88087
538,[04:22:09.2838464],1063340,98720
539,[04:22:09.3340493],1085929,95031
540,[04:22:09.3840495],1087630,89872
541,[04:22:09.4340970],1063332,89629
542,[04:22:09.4842270],1064075,94324
543,[04:22:09.5343870],1067555,93280
544,[04:22:09.5844770],1044933,91910
545,[04:22:09.6345063],1104213,93807
546,[04:22:09.6844101],1091530,96992
547,[04:22:09.7346120],1037828,94243
548,[04:22:09.7847528],1011918,92812
549,[04:22:09.8348123],1095753,91476
550,[04:22:09.8848177],1009149,90626
551,[04:22:09.9349589],1031996,91876
552,[04:22:09.9849371],1068331,91613
553,[04:22:10.0351137],1029905,94143
554,[04:22:10.0850760],1070885,93683
555,[04:22:10.1355399],1048090,90385
556,[04:22:10.1852234],1024528,91219
557,[04:22:10.2353118],1094896,100460
558,[04:22:10.2854500],1092065,91938
559,[04:22:10.3357270],1035712,93740
560,[04:22:10.3856324],1085772,88186
561,[04:22:10.4356988],1108020,94905
562,[04:22:10.4856381],1063464,93195
563,[04:22:10.5358533],1043679,97704
564,[04:22:10.5861957],1066836,90170
565,[04:22:10.6361973],1058786,96886
566,[04:22:10.6860618],1081604,95630
567,[04:22:10.7361103],1064600,92558
568,[04:22:10.7862851],1117191,92215
569,[04:22:10.8363270],1053846,90517
570,[04:22:10.8863760],1051000,86393
571,[04:22:10.9363585],1090526,88649
572,[04:22:10.9865600],1088367,89093
573,[04:22:11.0366695],1054528,92600
574,[04:22:11.0866343],1093099,92410
575,[04:22:11.1371235],1045493,92317
576,[04:22:11.1869045],1040994,89176
577,[04:22:11.2368623],1106672,90721
578,[04:22:11.2871446],1095810,92355
579,[04:22:11.3371941],1066017,92483
580,[04:22:11.3873802],1069732,87810
581,[04:22:11.4376006],1050257,95512
582,[04:22:11.4875243],1099059,91222
583,[04:22:11.5373077],1037282,95818
584,[04:22:11.5872698],1060498,92695
585,[04:22:11.6376927],1069518,91287
586,[04:22:11.6873402],1076998,91701
587,[04:22:11.7375709],1112748,86798
588,[04:22:11.7876218],1034662,92173
589,[04:22:11.8377826],1103552,96579
590,[04:22:11.8877763],1051163,89977
591,[04:22:11.9381668],1075401,92634
592,[04:22:11.9882832],1095686,88985
593,[04:22:12.0384889],1075543,98587
594,[04:22:12.0883616],1045948,96939
595,[04:22:12.1387309],1036502,93623
596,[04:22:12.1885114],1096462,89268
597,[04:22:12.2383135],1084441,93964
598,[04:22:12.2887951],1054413,97562
599,[04:22:12.3383018],1109422,87323
600,[04:22:12.3886364],1099782,91823
601,[04:22:12.4385867],1084138,98302
602,[04:22:12.4889960],1008074,91551
603,[04:22:12.5389619],1117725,94941
604,[04:22:12.5888489],1082191,84847
605,[04:22:12.6391023],1088533,92609
606,[04:22:12.6891666],1068010,93744
607,[04:22:12.7392371],1050810,96558
608,[04:22:12.7893161],1093721,93149
609,[04:22:12.8392621],1106563,93775
610,[04:22:12.8896158],1119606,88152
611,[04:22:12.9394832],1077838,86601
612,[04:22:12.9896521],1055530,89827
613,[04:22:13.0395139],1079757,86913
614,[04:22:13.0897582],1073436,95932
615,[04:22:13.1399145],1026095,89810
616,[04:22:13.1898505],1025632,91519
617,[04:22:13.2397996],1040983,93339
618,[04:22:13.2900928],1065290,94526
619,[04:22:13.3401600],1035579,95683
620,[04:22:13.3902631],1113323,94953
621,[04:22:13.4403488],1087275,92583
622,[04:22:13.4903256],1038978,83835
623,[04:22:13.5404413],1037472,95204
624,[04:22:13.5904196],1066798,95716
625,[04:22:13.6406201],1065317,89642
626,[04:22:13.6907473],992776,94304
627,[04:22:13.7407409],1061386,86736
628,[04:22:13.7908229],1115779,92198
629,[04:22:13.8408413],1089104,99673
630,[04:22:13.8910166],1072533,90121
631,[04:22:13.9410651],1085592,93887
632,[04:22:13.9911169],1119896,93412
633,[04:22:14.0412289],1094760,91625
634,[04:22:14.0910818],1047591,92682
635,[04:22:14.1414469],1047986,96455
636,[04:22:14.1914580],1128077,89659
637,[04:22:14.2413548],1086829,93155
638,[04:22:14.2916187],1113760,90554
639,[04:22:14.3416745],1122550,93707
640,[04:22:14.3915404],1078464,91498
641,[04:22:14.4417916],1051197,96268
642,[04:22:14.4916186],1029414,97899
643,[04:22:14.5418255],1109657,95739
644,[04:22:14.5918748],1085095,94183
645,[04:22:14.6420556],1027428,93796
646,[04:22:14.6920545],1045754,95240
647,[04:22:14.7422215],1085770,98430
648,[04:22:14.7926911],1073839,90531
649,[04:22:14.8422207],1117619,90742
650,[04:22:14.8927543],1069621,93989
651,[04:22:14.9426593],1098935,95394
652,[04:22:14.9927253],1059763,92856
653,[04:22:15.0430983],1117749,93227
654,[04:22:15.0930568],1141717,95357
655,[04:22:15.1431348],1089656,93168
656,[04:22:15.1930764],1097548,99799
657,[04:22:15.2432422],1094492,91404
658,[04:22:15.2929683],1109652,96190
659,[04:22:15.3430093],1107325,90119
660,[04:22:15.3930836],1136889,95423
661,[04:22:15.4434277],1109690,89063
662,[04:22:15.4936171],1080468,94907
663,[04:22:15.5435191],1104203,89917
664,[04:22:15.5935941],1052805,98395
665,[04:22:15.6441117],1078073,97401
666,[04:22:15.6937881],1088421,93490
667,[04:22:15.7435550],1094591,90199
668,[04:22:15.7937582],1063750,93347
669,[04:22:15.8436701],1028933,91056
670,[04:22:15.8942852],1096765,89401
671,[04:22:15.9439790],1094749,91628
672,[04:22:15.9940651],1067578,94652
673,[04:22:16.0442282],1137438,98729
674,[04:22:16.0943204],1056613,92395
675,[04:22:16.1444394],1027000,91766
676,[04:22:16.1944411],1078060,95363
677,[04:22:16.2444322],1131577,90076
678,[04:22:16.2946057],1072292,96176
679,[04:22:16.3446515],1078994,93015
680,[04:22:16.3946629],1113791,92983
