Predicted duration,0.4,,,
Predicted error,1.1,,,
Predicted start,00:30:51,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track
485,[00:30:30.6069973],8736,8117
486,[00:30:30.6271087],10423,10206
487,[00:30:30.6471914],8524,8375
488,[00:30:30.6674353],9491,9783
489,[00:30:30.6873152],8861,8628
490,[00:30:30.7075717],9944,7771
491,[00:30:30.7276378],8307,7769
492,[00:30:30.7478236],7662,10589
493,[00:30:30.7678415],8945,8371
494,[00:30:30.7879701],9661,9605
495,[00:30:30.8078348],9718,9154
496,[00:30:30.8280421],9249,8792
497,[00:30:30.8480513],10437,9471
498,[00:30:30.8680077],11626,9824
499,[00:30:30.8882718],10375,9058
500,[00:30:30.9081723],9771,8287
501,[00:30:30.9282781],8847,8441
502,[00:30:30.9483610],9804,9955
503,[00:30:30.9684483],8748,8850
504,[00:30:30.9885117],11223,9975
505,[00:30:31.0085904],10622,8942
506,[00:30:31.0286278],9737,8936
507,[00:30:31.0487429],10122,9525
508,[00:30:31.0688299],9786,9376
509,[00:30:31.0888352],9893,9983
510,[00:30:31.1089849],8770,7354
511,[00:30:31.1290850],9409,8070
512,[00:30:31.1490868],8736,9233
513,[00:30:31.1692485],9244,7464
514,[00:30:31.1893444],10515,8353
515,[00:30:31.2093894],10924,9806
516,[00:30:31.2294252],9011,8866
517,[00:30:31.2494356],11541,9177
518,[00:30:31.2695182],9133,9817
519,[00:30:31.2897169],11179,10541
520,[00:30:31.3097818],9223,8636
521,[00:30:31.3300367],8988,8877
522,[00:30:31.3499733],9640,8353
523,[00:30:31.3701010],9015,10372
524,[00:30:31.3900544],10372,9313
525,[00:30:31.4100983],10453,9998
526,[00:30:31.4302959],8346,7220
527,[00:30:31.4503409],9825,9232
528,[00:30:31.4704276],10944,6957
529,[00:30:31.4906271],10449,8770
530,[00:30:31.5107546],10297,8523
531,[00:30:31.5308167],9987,6404
532,[00:30:31.5507229],9406,8437
533,[00:30:31.5707808],9708,9215
534,[00:30:31.5908976],10049,8466
535,[00:30:31.6110021],11162,9396
536,[00:30:31.6310896],10006,9900
537,[00:30:31.6512045],9300,9572
538,[00:30:31.6712079],10769,8152
539,[00:30:31.6912823],10126,6418
540,[00:30:31.7114976],10195,7033
541,[00:30:31.7314213],9115,8254
542,[00:30:31.7515211],10438,9313
543,[00:30:31.7715783],9236,9011
544,[00:30:31.7925461],8838,8161
545,[00:30:31.8117929],9475,8735
546,[00:30:31.8317739],9765,7814
547,[00:30:31.8518887],9295,7738
548,[00:30:31.8719443],9889,7947
549,[00:30:31.8920822],9554,8303
550,[00:30:31.9121469],7969,8802
551,[00:30:31.9327562],9336,9576
552,[00:30:31.9525275],9488,8301
553,[00:30:31.9724114],9753,9621
554,[00:30:31.9927842],9063,10569
555,[00:30:32.0126086],10889,10128
556,[00:30:32.0332519],10709,9270
557,[00:30:32.0526481],9662,9831
558,[00:30:32.0733052],9615,7792
559,[00:30:32.0928731],10947,9316
560,[00:30:32.1129681],11238,8303
561,[00:30:32.1330683],10581,9629
562,[00:30:32.1531539],10986,7961
563,[00:30:32.1732460],10365,8718
564,[00:30:32.1932198],10290,10144
565,[00:30:32.2133933],10963,9272
566,[00:30:32.2334220],10018,9985
567,[00:30:32.2535117],9228,8727
568,[00:30:32.2735742],9695,7586
569,[00:30:32.2937924],9988,10361
570,[00:30:32.3136945],10568,8424
571,[00:30:32.3338825],9288,9478
572,[00:30:32.3539054],11010,8472
573,[00:30:32.3740802],9877,9628
574,[00:30:32.3940362],9102,9104
575,[00:30:32.4141074],8742,10054
576,[00:30:32.4341799],9005,8799
577,[00:30:32.4542793],10214,8226
578,[00:30:32.4743806],9639,9633
579,[00:30:32.4944950],10212,9964
580,[00:30:32.5145930],9958,8752
581,[00:30:32.5346604],8800,9836
582,[00:30:32.5547135],11634,9108
583,[00:30:32.5747570],8867,10201
584,[00:30:32.5948326],10913,8594
585,[00:30:32.6149722],10247,10444
586,[00:30:32.6350010],10057,10612
587,[00:30:32.6550880],7938,9612
588,[00:30:32.6751901],9444,8530
589,[00:30:32.6952584],10942,10121
590,[00:30:32.7157678],8385,9368
591,[00:30:32.7360317],9359,9240
592,[00:30:32.7556501],10670,9235
593,[00:30:32.7761487],8472,11346
594,[00:30:32.7958810],9940,9527
595,[00:30:32.8157630],10004,9234
596,[00:30:32.8357908],11029,8343
597,[00:30:32.8558332],7988,10255
598,[00:30:32.8759795],9409,9327
599,[00:30:32.8960260],9189,10981
600,[00:30:32.9161531],9882,9672
601,[00:30:32.9363355],10375,10765
602,[00:30:32.9563238],9041,9382
603,[00:30:32.9763554],11298,10129
604,[00:30:32.9964157],8950,7276
605,[00:30:33.0165299],9830,10852
606,[00:30:33.0365847],10678,10605
607,[00:30:33.0567331],8721,9610
608,[00:30:33.0767392],10216,10016
609,[00:30:33.0968307],9336,8859
610,[00:30:33.1178366],9439,10325
611,[00:30:33.1368921],10438,10648
612,[00:30:33.1570087],9519,8905
613,[00:30:33.1770384],9840,11107
614,[00:30:33.1970772],9037,9962
615,[00:30:33.2172805],9104,8673
616,[00:30:33.2373436],9849,9063
617,[00:30:33.2573017],10815,8992
618,[00:30:33.2775234],10952,9190
619,[00:30:33.2978132],9891,11805
620,[00:30:33.3176394],7492,10000
621,[00:30:33.3379265],8675,10494
622,[00:30:33.3580074],10742,8642
623,[00:30:33.3779500],10340,9478
624,[00:30:33.3979255],9915,10089
625,[00:30:33.4180975],10710,10209
626,[00:30:33.4383064],7305,9365
627,[00:30:33.4582807],9711,11248
628,[00:30:33.4782540],9726,10081
629,[00:30:33.4984690],9284,10071
630,[00:30:33.5186343],8386,9921
631,[00:30:33.5385175],9630,8785
632,[00:30:33.5588238],10279,9073
633,[00:30:33.5788593],8662,10025
634,[00:30:33.5989567],9540,10016
635,[00:30:33.6188250],9723,8868
636,[00:30:33.6390940],10043,9635
637,[00:30:33.6589853],10058,9112
638,[00:30:33.6792617],8735,9304
639,[00:30:33.6991090],10782,8986
640,[00:30:33.7194006],9908,7960
641,[00:30:33.7394506],9365,9672
642,[00:30:33.7593944],10072,11733
643,[00:30:33.7796274],9501,9354
644,[00:30:33.7995406],8745,10475
645,[00:30:33.8196197],9612,8763
646,[00:30:33.8397271],8701,10896
647,[00:30:33.8598001],9336,7850
648,[00:30:33.8800627],8489,10369
649,[00:30:33.8999704],8455,7113
650,[00:30:33.9200192],8668,10427
651,[00:30:33.9401069],10826,10117
652,[00:30:33.9602607],9748,9054
653,[00:30:33.9802620],9046,8887
654,[00:30:34.0003533],8438,8499
655,[00:30:34.0204362],8449,9560
656,[00:30:34.0404842],8404,9271
657,[00:30:34.0605982],9279,9173
658,[00:30:34.0807079],8028,8442
659,[00:30:34.1007308],9893,8806
660,[00:30:34.1208826],10143,9781
661,[00:30:34.1408716],10545,9860
662,[00:30:34.1609853],8189,8459
663,[00:30:34.1810710],9661,7670
664,[00:30:34.2011340],8677,7970
665,[00:30:34.2211206],9209,8301
666,[00:30:34.2413117],9963,9180
667,[00:30:34.2615453],8860,8077
668,[00:30:34.2816289],9761,8472
669,[00:30:34.3016879],9701,8964
670,[00:30:34.3215495],9130,8963
671,[00:30:34.3434555],9630,8872
672,[00:30:34.3617762],8779,10032
673,[00:30:34.3819518],9214,8695
674,[00:30:34.4018906],8491,8542
675,[00:30:34.4221691],9003,8389
676,[00:30:34.4421492],8707,8987
677,[00:30:34.4622769],10543,10170
678,[00:30:34.4827915],9193,8713
679,[00:30:34.5023389],9691,10477
680,[00:30:34.5223114],10149,9293
681,[00:30:34.5424779],7796,8821
682,[00:30:34.5625555],9264,9061
683,[00:30:34.5826337],9150,8259
684,[00:30:34.6026551],9390,8288
685,[00:30:34.6229269],9360,9318
686,[00:30:34.6430052],9252,9327
687,[00:30:34.6629810],9245,9621
688,[00:30:34.6829826],8716,9874
689,[00:30:34.7032525],9642,9315
690,[00:30:34.7232662],9590,8774
691,[00:30:34.7432549],7485,9882
692,[00:30:34.7633192],9489,8570
693,[00:30:34.7834805],9937,9228
694,[00:30:34.8036637],9170,8319
695,[00:30:34.8237244],10720,9529
696,[00:30:34.8436550],11533,9581
697,[00:30:34.8637229],9509,9021
698,[00:30:34.8838338],9897,9179
699,[00:30:34.9039729],8628,6458
700,[00:30:34.9239378],9357,10247
701,[00:30:34.9440304],9752,7243
702,[00:30:34.9642182],9717,7760
703,[00:30:34.9842401],10487,9658
704,[00:30:35.0042279],8637,8493
705,[00:30:35.0243362],8109,8253
706,[00:30:35.0444529],8400,8417
707,[00:30:35.0645248],9759,9502
708,[00:30:35.0846282],8911,8412
709,[00:30:35.1046806],9924,9734
710,[00:30:35.1247903],9126,8608
711,[00:30:35.1447819],9481,9966
712,[00:30:35.1650737],10178,8453
713,[00:30:35.1849718],10908,8230
714,[00:30:35.2050651],9500,7113
715,[00:30:35.2251125],9095,8359
716,[00:30:35.2451734],10403,8832
