Predicted duration,1.4,,,
Predicted error,5.9,,,
Predicted start,00:48:20,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1,signal-track2
624,[00:47:25.3421374],73,42,43
625,[00:47:25.4422767],68,61,50
626,[00:47:25.5420683],52,58,55
627,[00:47:25.6426065],39,57,39
628,[00:47:25.7430375],56,72,52
629,[00:47:25.8440596],69,39,59
630,[00:47:25.9424869],55,81,63
631,[00:47:26.0438456],70,78,61
632,[00:47:26.1426630],62,82,79
633,[00:47:26.2436462],54,36,63
634,[00:47:26.3425200],63,78,69
635,[00:47:26.4426739],68,69,64
636,[00:47:26.5435863],64,45,48
637,[00:47:26.6441062],61,46,66
638,[00:47:26.7429261],57,74,65
639,[00:47:26.8441603],53,71,69
640,[00:47:26.9434981],71,78,61
641,[00:47:27.0453933],69,80,67
642,[00:47:27.1435578],59,62,55
643,[00:47:27.2432068],52,70,43
644,[00:47:27.3443798],31,74,44
645,[00:47:27.4434924],65,84,61
646,[00:47:27.5459359],70,71,68
647,[00:47:27.6442056],74,73,35
648,[00:47:27.7437848],57,46,52
649,[00:47:27.8446715],61,73,72
650,[00:47:27.9438733],63,70,74
651,[00:47:28.0449604],64,51,45
652,[00:47:28.1450210],67,76,70
653,[00:47:28.2441805],47,54,63
654,[00:47:28.3452295],33,46,70
655,[00:47:28.4455073],73,76,61
656,[00:47:28.5445763],33,76,30
657,[00:47:28.6453667],60,79,57
658,[00:47:28.7452072],64,58,49
659,[00:47:28.8443536],41,69,69
660,[00:47:28.9443015],37,74,59
661,[00:47:29.0444849],54,69,63
662,[00:47:29.1445169],63,86,62
663,[00:47:29.2453730],54,67,54
664,[00:47:29.3459358],8,64,57
665,[00:47:29.4448368],49,48,63
666,[00:47:29.5459531],14,67,79
667,[00:47:29.6460710],38,55,53
668,[00:47:29.7450608],45,69,41
669,[00:47:29.8462812],44,57,66
670,[00:47:29.9453082],63,86,47
671,[00:47:30.0463821],40,61,44
672,[00:47:30.1460225],71,75,67
673,[00:47:30.2457053],72,61,77
674,[00:47:30.3458008],20,70,57
675,[00:47:30.4455285],70,79,67
676,[00:47:30.5463301],46,79,58
677,[00:47:30.6463449],67,76,76
678,[00:47:30.7459455],49,67,64
679,[00:47:30.8457521],31,62,59
680,[00:47:30.9472151],56,57,63
681,[00:47:31.0465276],56,59,78
682,[00:47:31.1466227],64,70,43
683,[00:47:31.2466390],11,65,76
684,[00:47:31.3463655],52,65,67
685,[00:47:31.4476949],49,63,57
686,[00:47:31.5467481],52,64,56
687,[00:47:31.6477754],68,71,67
688,[00:47:31.7465761],61,83,50
689,[00:47:31.8478144],41,66,53
690,[00:47:31.9479237],47,87,53
691,[00:47:32.0467805],61,56,63
692,[00:47:32.1486245],70,69,68
693,[00:47:32.2481279],29,65,62
694,[00:47:32.3469694],58,80,66
695,[00:47:32.4471238],42,85,69
696,[00:47:32.5471901],50,34,73
697,[00:47:32.6490612],75,59,77
698,[00:47:32.7474438],46,68,71
699,[00:47:32.8494705],73,67,77
700,[00:47:32.9475985],52,29,61
701,[00:47:33.0490060],29,59,60
702,[00:47:33.1493827],60,75,59
703,[00:47:33.2478275],45,41,68
704,[00:47:33.3491722],67,61,72
705,[00:47:33.4490991],68,64,46
706,[00:47:33.5479511],47,63,59
707,[00:47:33.6479782],61,70,54
708,[00:47:33.7481719],47,57,62
709,[00:47:33.8484843],47,74,59
710,[00:47:33.9481517],23,52,60
711,[00:47:34.0487517],24,29,78
712,[00:47:34.1489754],77,83,65
713,[00:47:34.2490564],60,75,59
714,[00:47:34.3496617],60,69,74
