Predicted duration,1.3,,,
Predicted error,0.6,,,
Predicted start,02:16:08,,,
Notes,starts from frame 1 and first ~100 frames are 'dropped frames'. incorrect data because the cpu was overloaded,,,
FrameNum,timeInfo,signal-target,signal-track1
388,[02:16:02.6665661],11436,552772
389,[02:16:02.7179351],10830,525216
390,[02:16:02.7655850],9600,542502
391,[02:16:02.8163926],14123,531057
392,[02:16:02.8682354],12201,539752
393,[02:16:02.9179620],11929,570801
394,[02:16:02.9679933],13016,557598
395,[02:16:03.0170607],11746,583150
396,[02:16:03.0677789],13123,582267
397,[02:16:03.1181422],10981,548741
398,[02:16:03.1682277],15663,563103
399,[02:16:03.2179969],11389,522025
400,[02:16:03.2666873],12442,527516
401,[02:16:03.3183707],12239,542409
402,[02:16:03.3671396],12678,556341
403,[02:16:03.4168083],11813,529439
404,[02:16:03.4677862],12703,538110
405,[02:16:03.5168622],10308,572919
406,[02:16:03.5692701],12813,519333
407,[02:16:03.6181892],12326,566339
408,[02:16:03.6688062],12041,542948
409,[02:16:03.7172358],14015,559139
410,[02:16:03.7676116],12335,551291
411,[02:16:03.8174997],10316,572313
412,[02:16:03.8681010],13271,522121
413,[02:16:03.9181388],11814,518236
414,[02:16:03.9676675],13298,534629
415,[02:16:04.0179288],12854,558527
416,[02:16:04.0718658],12955,559590
417,[02:16:04.1184361],15428,554499
418,[02:16:04.1684927],12536,524995
419,[02:16:04.2169719],14289,558745
420,[02:16:04.2673084],12447,557649
421,[02:16:04.3182160],11747,519243
422,[02:16:04.3691440],10834,548455
423,[02:16:04.4178585],12722,545867
424,[02:16:04.4675329],12219,549041
425,[02:16:04.5175746],13219,552788
426,[02:16:04.5683508],13151,510039
427,[02:16:04.6189765],14114,531007
428,[02:16:04.6681478],15348,570388
429,[02:16:04.7177560],12436,521348
430,[02:16:04.7682268],12830,577192
431,[02:16:04.8193536],14073,523839
432,[02:16:04.8699593],14067,579955
433,[02:16:04.9191108],11455,577861
434,[02:16:04.9684198],13035,583256
435,[02:16:05.0181907],14219,508711
436,[02:16:05.0690121],11922,527149
437,[02:16:05.1189553],14496,531287
438,[02:16:05.1686403],13230,534056
439,[02:16:05.2190368],13023,556414
440,[02:16:05.2687058],11870,544314
441,[02:16:05.3189600],15309,562315
442,[02:16:05.3693725],13160,593762
443,[02:16:05.4191864],10507,546004
444,[02:16:05.4689812],13073,559454
445,[02:16:05.5190495],13763,565809
446,[02:16:05.5690942],13426,510555
447,[02:16:05.6196974],12258,553992
448,[02:16:05.6701476],15156,513331
449,[02:16:05.7195894],13651,569493
450,[02:16:05.7697218],14119,550886
451,[02:16:05.8197028],14715,558912
452,[02:16:05.8704545],13518,549030
453,[02:16:05.9206945],12296,514981
454,[02:16:05.9709008],15473,554653
455,[02:16:06.0206437],16659,559893
456,[02:16:06.0707906],14691,561098
457,[02:16:06.1205017],14437,551959
458,[02:16:06.1712736],14249,525615
459,[02:16:06.2215573],12316,527695
460,[02:16:06.2718157],11803,517424
461,[02:16:06.3214878],15354,574554
462,[02:16:06.3714262],13234,567991
463,[02:16:06.4213309],15781,529991
464,[02:16:06.4726624],12182,545906
465,[02:16:06.5282898],12022,536268
466,[02:16:06.5717236],14012,563937
467,[02:16:06.6213835],14659,525239
468,[02:16:06.6717912],12893,536936
469,[02:16:06.7223440],13178,510884
470,[02:16:06.7720230],16195,559736
471,[02:16:06.8220360],13320,567700
472,[02:16:06.8721943],12091,550195
473,[02:16:06.9221427],15164,574197
474,[02:16:06.9726677],14508,532400
475,[02:16:07.0222979],12393,554968
476,[02:16:07.0724975],15686,568884
477,[02:16:07.1235350],13930,525608
478,[02:16:07.1735018],14681,552363
479,[02:16:07.2232650],12125,525207
480,[02:16:07.2752407],15073,519325
481,[02:16:07.3228790],14210,536920
482,[02:16:07.3726707],13979,570649
483,[02:16:07.4229957],15394,536184
484,[02:16:07.4736040],16432,548244
485,[02:16:07.5235556],11659,526328
486,[02:16:07.5735961],15252,540543
487,[02:16:07.6232332],15777,530473
488,[02:16:07.6735414],14857,587831
489,[02:16:07.7235511],17089,535017
490,[02:16:07.7730531],15228,565305
491,[02:16:07.8225197],16035,538070
492,[02:16:07.8728593],16978,558266
493,[02:16:07.9243602],15028,546389
494,[02:16:07.9743610],13303,548984
495,[02:16:08.0236449],14878,523588
496,[02:16:08.0733473],12687,523799
497,[02:16:08.1234422],14483,560332
498,[02:16:08.1739705],15068,554075
499,[02:16:08.2244559],15392,552098
500,[02:16:08.2732761],12214,561760
501,[02:16:08.3232748],12834,555560
502,[02:16:08.3735017],16081,565023
503,[02:16:08.4249525],10109,542347
504,[02:16:08.4752908],9901,567832
505,[02:16:08.5242670],12466,532279
506,[02:16:08.5737494],12882,524981
507,[02:16:08.6237448],15402,546595
508,[02:16:08.6742519],15049,534604
509,[02:16:08.7244228],12718,545662
510,[02:16:08.7743099],11798,527919
511,[02:16:08.8241611],13528,530063
512,[02:16:08.8742499],14891,543706
513,[02:16:08.9244834],15094,554136
514,[02:16:08.9747492],16974,560239
515,[02:16:09.0243339],13593,547847
516,[02:16:09.0747071],12745,552913
517,[02:16:09.1246233],13765,548263
518,[02:16:09.1748571],11927,566549
519,[02:16:09.2261391],13967,546999
520,[02:16:09.2761140],13282,543384
521,[02:16:09.3252530],11103,552987
522,[02:16:09.3752693],12635,550896
523,[02:16:09.4252158],12431,527668
524,[02:16:09.4763750],14825,533333
525,[02:16:09.5263567],11652,510356
526,[02:16:09.5751348],12850,535468
527,[02:16:09.6253506],16466,562561
528,[02:16:09.6756461],9716,561126
529,[02:16:09.7265528],13372,550830
530,[02:16:09.7790729],14448,550824
531,[02:16:09.8289741],14805,552453
532,[02:16:09.8814707],12952,526153
533,[02:16:09.9272749],10604,530434
534,[02:16:09.9782155],12571,579108
535,[02:16:10.0275793],12783,570956
536,[02:16:10.0801416],13809,558285
537,[02:16:10.1290610],14728,530720
538,[02:16:10.1802363],13329,533276
539,[02:16:10.2310153],13398,565418
540,[02:16:10.2778594],14751,548549
541,[02:16:10.3303102],11016,545198
542,[02:16:10.3803096],13223,545975
543,[02:16:10.4296070],12492,528243
544,[02:16:10.4789495],13449,544472
545,[02:16:10.5311488],12775,531179
546,[02:16:10.5794188],11786,533201
547,[02:16:10.6280806],15069,547814
548,[02:16:10.6779720],15620,571132
549,[02:16:10.7299616],14851,553321
550,[02:16:10.7812046],14902,555161
551,[02:16:10.8280407],14606,535542
552,[02:16:10.8788754],14571,544210
553,[02:16:10.9312922],14692,531573
554,[02:16:10.9805899],13942,528142
555,[02:16:11.0316245],14288,510211
556,[02:16:11.0786120],12442,549583
557,[02:16:11.1293266],13618,519404
558,[02:16:11.1789244],14455,557354
559,[02:16:11.2308318],15223,551819
560,[02:16:11.2804579],14211,519133
561,[02:16:11.3288190],15027,548365
562,[02:16:11.3780580],14357,564639
563,[02:16:11.4291861],12880,562423
564,[02:16:11.4802511],14805,554886
565,[02:16:11.5286845],15447,505769
566,[02:16:11.5792559],14175,529075
567,[02:16:11.6285873],12097,516856
568,[02:16:11.6784694],12563,527767
569,[02:16:11.7316173],12608,544460
570,[02:16:11.7793041],13257,544646
571,[02:16:11.8285952],14391,517868
572,[02:16:11.8788265],11491,545808
573,[02:16:11.9291557],14220,541387
574,[02:16:11.9805883],13503,527534
575,[02:16:12.0292752],13846,552837
576,[02:16:12.0790667],14267,554420
577,[02:16:12.1290877],14323,553988
578,[02:16:12.1794521],12688,555957
579,[02:16:12.2309879],12854,546984
580,[02:16:12.2794253],12052,562052
581,[02:16:12.3294909],14058,541210
582,[02:16:12.3800594],12374,507891
583,[02:16:12.4347453],11754,521896
584,[02:16:12.4823948],12194,574288
585,[02:16:12.5321569],13642,527252
586,[02:16:12.5810681],13385,568582
587,[02:16:12.6299241],10962,527585
588,[02:16:12.6811786],14204,554358
589,[02:16:12.7312770],12260,545732
590,[02:16:12.7817154],10221,559014
591,[02:16:12.8299879],11936,564335
592,[02:16:12.8804191],13590,538454
593,[02:16:12.9307340],13610,532735
594,[02:16:12.9828809],12978,525829
595,[02:16:13.0307169],13447,544225
596,[02:16:13.0805870],14853,552562
597,[02:16:13.1308427],12444,543942
598,[02:16:13.1809104],13752,526849
599,[02:16:13.2321382],12158,544879
600,[02:16:13.2827847],13747,565233
601,[02:16:13.3337576],13231,541020
602,[02:16:13.3829307],14046,521794
603,[02:16:13.4322109],14479,545428
604,[02:16:13.4821171],14541,540939
605,[02:16:13.5325269],13342,564157
606,[02:16:13.5837480],9690,536812
607,[02:16:13.6338603],11904,555994
608,[02:16:13.6831850],10681,535994
609,[02:16:13.7325190],12342,539407
610,[02:16:13.7825752],11896,525703
611,[02:16:13.8338467],11618,555961
612,[02:16:13.8830702],12199,557507
613,[02:16:13.9330542],12330,556522
614,[02:16:13.9828929],11646,539187
615,[02:16:14.0344507],13717,534544
616,[02:16:14.0836596],11409,569443
617,[02:16:14.1331994],14443,524700
618,[02:16:14.1831341],12838,542355
619,[02:16:14.2338829],14845,537647
620,[02:16:14.2838986],9833,514828
621,[02:16:14.3334723],13365,552177
622,[02:16:14.3845934],13418,554252
623,[02:16:14.4340983],12685,569229
624,[02:16:14.4837046],13530,546520
625,[02:16:14.5342450],13476,528390
626,[02:16:14.5839427],15282,553046
627,[02:16:14.6338531],14636,570751
