Predicted duration,22.4,,,
Predicted error,0.7,,,
Predicted start,03:56:57,,,
Notes,none,,,
FrameNum,timeInfo,signal-target,signal-track1,signal-track2
556,[03:56:39.0680431],16044,50075,4747
557,[03:56:39.0880662],16361,50543,6970
558,[03:56:39.1082647],17859,49462,7178
559,[03:56:39.1283786],16538,48136,7293
560,[03:56:39.1484215],15387,53193,6554
561,[03:56:39.1684329],15874,50985,4922
562,[03:56:39.1885860],15526,49171,5162
563,[03:56:39.2086067],14262,47607,5770
564,[03:56:39.2288361],16196,48000,5637
565,[03:56:39.2488310],15196,50361,6859
566,[03:56:39.2688841],15910,41810,6000
567,[03:56:39.2891666],15592,44515,4727
568,[03:56:39.3090893],15151,51724,6223
569,[03:56:39.3293408],12728,49031,5002
570,[03:56:39.3502140],14290,44971,6865
571,[03:56:39.3694687],15754,45982,6140
572,[03:56:39.3893499],15249,47498,4700
573,[03:56:39.4094545],14144,42626,2219
574,[03:56:39.4298630],16775,39418,7302
575,[03:56:39.4495643],11936,45112,5056
576,[03:56:39.4697060],11331,43474,4725
577,[03:56:39.4898514],13007,45859,4215
578,[03:56:39.5098916],12578,45529,4547
579,[03:56:39.5305006],11208,45389,3682
580,[03:56:39.5500333],12340,44890,4205
581,[03:56:39.5702165],12373,39586,4177
582,[03:56:39.5901316],13567,41401,4219
583,[03:56:39.6102010],11613,40498,4881
584,[03:56:39.6305165],13609,43648,5782
585,[03:56:39.6503904],13422,45651,3483
586,[03:56:39.6704545],12220,40173,3582
587,[03:56:39.6904800],13318,42185,3351
588,[03:56:39.7106342],13998,41479,2933
589,[03:56:39.7308278],14161,44909,5329
590,[03:56:39.7507855],12049,39510,4281
591,[03:56:39.7709233],13380,41241,3449
592,[03:56:39.7909254],13144,41746,2496
593,[03:56:39.8109274],13551,42000,2493
594,[03:56:39.8310726],11891,42667,2892
595,[03:56:39.8514569],10879,39130,3813
596,[03:56:39.8713493],10510,40984,5070
597,[03:56:39.8913180],10329,41863,4715
598,[03:56:39.9114203],11916,42575,2538
599,[03:56:39.9314726],10986,44117,4333
600,[03:56:39.9515547],10647,39987,4296
601,[03:56:39.9719241],12856,39386,2302
602,[03:56:39.9916669],12625,39789,4623
603,[03:56:40.0119031],11108,38932,3227
604,[03:56:40.0318504],13017,39809,3197
605,[03:56:40.0519091],13259,42912,2886
606,[03:56:40.0720982],13698,42514,2250
607,[03:56:40.0920768],14139,44077,5663
608,[03:56:40.1122674],13341,42040,3240
609,[03:56:40.1322605],13240,40477,2652
610,[03:56:40.1523770],13930,38850,4130
611,[03:56:40.1724594],13716,42862,5262
612,[03:56:40.1925317],14378,40070,4204
613,[03:56:40.2126422],15535,40599,4920
614,[03:56:40.2326528],13954,39802,6382
615,[03:56:40.2528043],12944,39145,4132
616,[03:56:40.2728353],13712,40365,3344
617,[03:56:40.2928872],13323,39314,4841
